"SCS","requiredSNR","numACKs","NRep","SNR","BLER","TTI","pathloss"
3750,-5.7403,100,1,12,0.01,8.08,146
3750,-5.7403,100,1,11,0.02,8.16,147
3750,-5.7403,100,1,10,0.02,8.16,148
3750,-5.7403,100,1,9,0.03,8.24,149
3750,-5.7403,100,1,8,0.02,8.16,150
3750,-5.7403,100,1,7,0.05,8.4,151
3750,-5.7403,100,1,6,0.03,8.24,152
3750,-5.7403,100,1,5,0.05,8.4,153
3750,-5.7403,100,2,4,0.03,16.48,154
3750,-5.7403,100,2,3,0.05,16.8,155
3750,-5.7403,100,2,2,0.07,17.12,156
3750,-5.7403,100,2,1,0.06,16.96,157
3750,-5.7403,100,4,-3,0.08,34.56,161
3750,-5.7403,100,8,0,0.01,64.64,158
3750,-5.7403,100,8,-1,0.04,66.56,159
3750,-5.7403,100,8,-2,0.04,66.56,160
3750,-5.7403,100,8,-4,0.05,67.2,162
3750,-5.7403,100,8,-5,0.08,69.12,163
3750,-5.7403,100,32,-6,0.07,273.92,164
3750,-5.7403,100,32,-7,0.09,279.04,165
15000,-11.761,100,1,14,0,2,138
15000,-11.761,100,1,13,0.02,2.04,139
15000,-11.761,100,1,12,0.02,2.04,140
15000,-11.761,100,1,11,0.01,2.02,141
15000,-11.761,100,1,10,0.05,2.1,142
15000,-11.761,100,1,9,0.06,2.12,143
15000,-11.761,100,1,8,0.08,2.16,144
15000,-11.761,100,1,7,0.06,2.12,145
15000,-11.761,100,2,6,0.03,4.12,146
15000,-11.761,100,2,5,0.08,4.32,147
15000,-11.761,100,2,4,0.08,4.32,148
15000,-11.761,100,2,3,0.06,4.24,149
15000,-11.761,100,4,2,0.03,8.24,150
15000,-11.761,100,4,1,0.02,8.16,151
15000,-11.761,100,4,0,0.04,8.32,152
15000,-11.761,100,4,-1,0.06,8.48,153
15000,-11.761,100,4,-2,0.07,8.56,154
15000,-11.761,100,4,-3,0.07,8.56,155
15000,-11.761,100,4,-4,0.09,8.72,156
15000,-11.761,100,8,-5,0.04,16.64,157
15000,-11.761,100,8,-6,0.04,16.64,158
15000,-11.761,100,8,-7,0.08,17.28,159
15000,-11.761,100,16,-9,0.07,34.24,161
15000,-11.761,100,32,-8,0.06,67.84,160
15000,-11.761,100,64,-10,0.1,140.8,162
15000,-11.761,100,64,-11,0.1,140.8,163
15000,-11.761,100,64,-12,0.1,140.8,164
